,doctor,nurse,patient,walking,waiting_instruction,ocupied,empty,admiting,documenting,checking-medicine,documenting-risk,waiting_admission,in-admission,walking_%,documenting_%,not-walking_%,not-documenting_%
0,2,3,13,0,18,13,39,0,0,0,0,0,0,0.0,0.0,1.0,1.0
1,2,3,13,5,0,13,39,0,0,0,0,13,0,1.0,0.0,0.0,1.0
2,2,3,13,2,0,13,39,0,0,3,0,13,0,0.5,0.0,0.5,1.0
3,2,3,13,1,0,13,39,1,0,3,0,12,1,0.3333333333333333,0.0,0.6666666666666667,1.0
4,2,3,13,1,0,13,39,1,0,3,0,12,1,0.25,0.0,0.75,1.0
5,2,3,13,0,0,13,39,2,0,3,0,11,2,0.2,0.0,0.8,1.0
6,2,3,13,0,0,13,39,2,0,3,0,11,2,0.16666666666666666,0.0,0.8333333333333334,1.0
7,2,3,13,0,0,13,39,2,0,3,0,11,2,0.14285714285714285,0.0,0.8571428571428572,1.0
8,2,3,13,0,0,13,39,2,0,3,0,11,2,0.125,0.0,0.875,1.0
9,2,3,13,0,0,13,39,2,0,3,0,11,2,0.1111111111111111,0.0,0.8888888888888888,1.0
10,2,3,13,0,1,13,39,1,0,3,0,11,2,0.1,0.0,0.9,1.0
11,2,3,13,1,0,13,39,1,0,3,0,11,2,0.09090909090909091,0.0,0.9090909090909091,1.0
12,2,3,13,1,1,13,39,0,0,3,0,11,2,0.08333333333333333,0.0,0.9166666666666666,1.0
13,2,3,13,2,0,13,39,0,0,3,0,11,2,0.07692307692307693,0.0,0.9230769230769231,1.0
14,2,3,13,2,0,13,39,0,0,3,0,11,2,0.07142857142857142,0.0,0.9285714285714286,1.0
15,2,3,13,2,0,13,39,0,0,3,0,11,2,0.06666666666666667,0.0,0.9333333333333333,1.0
16,2,3,13,1,0,13,39,1,0,3,0,10,3,0.0625,0.0,0.9375,1.0
17,2,3,13,0,0,13,39,2,0,3,0,9,4,0.058823529411764705,0.0,0.9411764705882353,1.0
