,empty,ocupied,doctor,nurse,patient,resting,idle_nurse,idle_doctor,walking,in-admission,in-evaluation,in-medication,in-meeting,taking-inventory,documenting,admitting,evaluating,medicating,waiting-admission,waiting-evaluation,waiting-medication
0,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
4,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
5,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
6,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
7,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
8,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
9,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
10,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
11,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
12,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
13,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
14,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
15,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
16,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
17,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
18,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
19,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
20,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
21,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
22,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
23,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
24,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
25,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
26,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
27,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
28,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
29,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
30,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
31,52,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
32,52,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
33,52,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
34,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
35,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
36,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
37,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
38,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
39,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
40,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
41,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
42,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
43,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
44,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
45,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
46,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
47,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
48,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
49,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
50,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
51,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
52,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
53,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
54,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
55,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
56,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
57,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
58,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
59,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
60,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
61,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
62,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
63,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
64,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
65,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
66,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
67,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
68,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
