filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,0,"{""name"":""rect"",""x"":769,""y"":105,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""0""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,1,"{""name"":""rect"",""x"":769,""y"":60,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,2,"{""name"":""rect"",""x"":261,""y"":446,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,3,"{""name"":""rect"",""x"":320,""y"":60,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,4,"{""name"":""rect"",""x"":391,""y"":60,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,5,"{""name"":""rect"",""x"":490,""y"":60,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,6,"{""name"":""rect"",""x"":556,""y"":60,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,7,"{""name"":""rect"",""x"":654,""y"":60,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,8,"{""name"":""rect"",""x"":320,""y"":105,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,9,"{""name"":""rect"",""x"":391,""y"":105,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""0""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,10,"{""name"":""rect"",""x"":490,""y"":105,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,11,"{""name"":""rect"",""x"":556,""y"":105,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""0""}"
